LabelName
"['Wildlife', 'wildlife_conservation', 'fauna', 'habitat', 'wildlife_habitats', 'wildlife_habitat', 'habitats', 'conservation', 'animals', 'wildife']"
"['supercar', 'sportscars', 'roadster', 'supercars', 'Caparo_T', 'mid_engined', 'motorsport', 'sportscar_racing', 'V', '_engined', 'V', '_powered']"
"['birds', 'raptor', 'owl', 'squirrel', 'falcon', 'raptors', 'bald_eagle', 'robin', 'pelican', 'avian']"
"['petals', 'flower_petal', 'petalled', 'stamens', 'petaled', 'stamen', 'petaled_flowers', 'flowerheads', 'ruffled_petals', 'tubular_flowers']"
"['beaks', 'talons', 'sharp_talons', 'mouthparts', 'snout', 'mandibles', 'proboscis', 'sucking_mouthparts', 'hooked_beak', 'bird_beak']"
"['Ketera', 'NetSuite', 'Emptoris', 'Nsite', 'Salesforce', 'SaaS', 'Coupa_Software', 'ExpenseWatch', 'com', 'FreshBooks', 'IQNavigator']"
"['purple', 'lime_green', 'cornflower_blue', 'pale_pink', 'bright_yellow', 'blue', 'fuchsia', 'bubblegum_pink', 'bright_orange', 'teal']"
"['someone', 'persons', 'woman', 'somebody', 'peson', 'man', 'people', 'anyone', 'guy', 'Someone']"
"['red', 'purple', 'white', 'maroon', 'colored', 'orange', 'yellow', 'teal', 'pink', 'pale_blue']"
"['monochromatic', 'Monochrome', 'desktop_laser_printers', 'Epson_AcuLaser', 'greyscale', 'grayscale', 'Xerox_Phaser_', 'MFP', 'dpi', 'laser_multifunction_printer', 'mono_laser_printers']"
"['beard', 'mustache', 'mane', 'hair', 'facial_hair', 'beards', 'canine_teeth', 'barbels', 'pointy_ears', 'sideburns']"
"['Car_Dealership', 'Car_Dealerships', 'Fuel_Efficient', 'Fuel_Efficient_Vehicles', 'Pickup_Trucks', 'Foreclosed_Homes', 'Resale_Value', 'Toyota_Recalls', 'Used_Vehicles', 'Pricing_Announced']"
"['Mammalia', 'sexually_dimorphic', 'suborder', 'canis_lupus', 'artiodactyls', 'hominoid', 'monotremes', 'colugos', 'lagomorphs', 'monophyletic']"
"['land_transport']"
"['personal_watercraft', 'watercrafts', 'PWCs', 'personal_watercrafts', 'jet_ski', 'boat', 'motorboat', 'Personal_watercraft', 'personal_watercraft_PWC', 'motorized_watercraft']"
"['cuisines', 'Mediterranean_cuisine', 'fusion_cuisine', 'cusine', 'vegetarian_cuisine', 'culinary_traditions', 'Cuisine', 'ethnic_cuisines', 'delicacies', 'Cantonese_cuisine']"
"['meadows', 'grassy_meadow', 'woodland', 'glade', 'grassy_meadows', 'alpine_meadow', 'hay_meadow', 'copse', 'wildflower_garden', 'blackberry_brambles']"
"['desserts', 'Dessert', 'tiramisu', 'appetizer', 'brownie_sundae', 'appetizers', 'chocolate_fondue', 'flourless_chocolate_cake', 'chocolate_souffle', 'cheesecake']"
"['drinks', 'drinking', 'alcoholic_drink', 'alcoholic_drinks', 'Drink', 'drank', 'Drinking', 'beer', 'kool_aide', 'drunk']"
"['Closeup']"
"['dishes', 'risotto', 'casserole', 'crab_rangoon', 'pasta_dish', 'lamb_biryani', 'tartare_sauce', 'pastry_crust', 'giardiniera', 'shrimp_appetizer']"
"['Interior_Designers', 'Design', 'Interior_Designer', 'Architectural', 'Interiors', 'IIDA', 'Graphic_Design', 'ASID', 'Landscape_Architecture', 'interior_designers']"
"['foods', 'Food', 'foodstuffs', 'meals', 'food_stuffs', 'nourishing_meals', 'foodstuff', 'staple_foods', 'nutritious', 'meal']"
"['fruits', 'cherries', 'berries', 'pears', 'citrus_fruit', 'mango', 'grapes', 'berry', 'peaches', 'apple']"
"['flora', 'birdlife', 'flora_fauna', 'habitats', 'wildlife', 'aquatic_flora', 'biodiversity', 'endemic_flora', 'avifauna', 'bio_diversity']"
"['geological', 'Geology', 'geologic', 'geologist', 'geochemistry', 'mineralogy', 'geosciences', 'geomorphology', 'geophysics', 'geologists']"
"['produced', 'producing', 'produces', 'generate', 'deliver', 'create', 'develop', 'Producing', 'pro_duce', 'provide']"
"['wearin_o', 'greener', 'workers_differently_Corenthal', 'QEII_TJ_Marta', 'red', 'Leyritz_Ford_Expedition', 'greening', 'Pentwater_Civic', 'Kimmie_Mi_Hyun_Kim', 'eco_friendly']"
"['fauna', 'indigenous_flora', 'aquatic_flora', 'endemic_flora', 'native_flora', 'flora_fauna', 'tropical_flora', 'birdlife', 'exotic_flora', 'geology_flora']"
"['monochrome_printers', 'laser_MFP', 'laser_multifunction_printer', 'laser_MFPs', 'Lexmark_C', 'dn', 'color_laser_MFPs', 'ppm_color', 'MF', 'Cdn', 'monochrome_MFP', 'monochrome_laser']"
"['wildflowers', 'bluebonnets', 'bluebonnet', 'Wildflowers', 'bluebells', 'bluebell', 'birding', 'spring_ephemerals', 'Native_Plant', 'snowdrop']"
"['herbs', 'herbal', 'medicinal_herb', 'herbal_remedy', 'lemon_balm', 'medicinal_herbs', 'oregano', 'medicinal', 'comfrey', 'aloe']"
"['fonts', 'typeface', 'sans_serif', 'serif_font', 'typefaces', 'mso_bidi_theme', 'minor_latin', 'Arial_Helvetica_sans_serif', 'sans_serif_fonts', 'mso_fareast_theme']"
"['Peggy_Greb', '_Shivaji_Rao', 'Camera_Phones', 'Optimize_Your', 'Portrait_Photography', 'Clark_Brooks_PhotoNews', 'Danielle_Butters', 'Holiday_Gift_Giving', 'Cameraphone', 'ERNEST_CHUA']"
"['invertebrates', 'arthropod', 'vertebrate', 'crocodilian', 'marine_invertebrates', 'gastropods', 'baleen_whale', 'annelid', 'annelids', 'echinoderms']"
"['Wipe_jar', 'hoop', 'shots_clanked_cruelly', 'backboard', 'dribble', 'unpadded_pillar', 'basket', 'halfcourt', 'buzzer_bounced_harmlessly', 'fadeway']"
"['mammals', 'otter', 'creature', 'baleen_whale', 'beaked_whale', 'reptile', 'leatherback_turtle', 'species', 'crocodilian', 'cetacean']"
"['meats', 'beef', 'pork', 'chicken', 'veal', 'Meat', 'lamb', 'venison', 'steaks', 'processed_meats']"
"['oceanography', 'zoology', 'marine_biologist', 'biology', 'marine_ecology', 'anthropology_paleontology', 'Marine_Biology', 'Raphael_Kudela_professor', 'botany', 'UM_Rosenstiel_School']"
"['homemade_baked_goods', 'Baked_goods', 'cookies_breads', 'breads', 'pastries', 'homemade_pies_cakes', 'cakes_pies_cookies', 'homemade_goodies', 'homemade_breads', 'cakes_pies']"
"['duplication_replication', 'Multimedia', 'digital', 'CyberLink_YouCam', 'PINKSHEETS_IVIT', 'audio_visual', 'interactive', 'audio', 'D', 'D_graphics', 'Nokia_Nseries_multimedia']"
"['recreation', 'recreational', 'hiking_biking_fishing', 'parks_greenways', 'hiking_biking', 'JOHNSON_OUTDOORS', 'outdoor_enthusiasts', 'hiking_picnicking', 'Lisette_Kaczka_covers', 'hiking_birding']"
"['natures', 'Purists_insist', 'inherently', 'inter_relatedness', 'Kaminak_disclosure', 'intangibility', 'interiority', 'impermanent', 'CN_cautions', 'anthropocentrism']"
"['plants', 'Plant', 'factory', 'paperboard_mill', 'containerboard_mill', 'factories', 'megawatt_MW_biomass', 'refinery', 'Plants', 'mill']"
"['prop_erty', 'propery', 'properties', 'Property', 'propert', 'propety', 'R_Registered_Trademarks', 'land', 'Lackawaxen_Twp', 'Paupack_Twp']"
"['pets', 'Pet', 'dog', 'puppy', 'cat', 'cats', 'pooch', 'Pets', 'animal', 'dogs']"
"['automotive_design']"
"['recreational', 'outdoor_recreation', 'saw_clambakes_interrupted', 'hiking_trails_wildlife_habitats', 'passive_recreation', 'PARA_therapeutic', 'aquatics', 'Recreation', 'rec', 'parks']"
"['yellow', 'blue', 'purple', 'orange', 'pink', 'participant_LOGIN', 'colored', 'crimson', 'brown', 'bright_orange']"
"['rooms', 'upstairs', 'hallway', 'downstairs', 'dining_room', 'bathroom', 'kitchenette', 'jacuzzi_tub', 'basement', 'lounge']"
"['ocean', 'seas', 'oceans', 'waters', 'seawaters', 'Creamsicle_orange', 'coastal_waters', 'wooden_crate_dumped', 'oceanic', 'prairies_deserts']"
"['sport', 'sporting', 'Sports', 'DeVillers_reports', 'athletics', 'football', 'sporting_events', 'soccer', 'al_Sunaidy', 'baseball']"
"['trees', 'pine_tree', 'oak_tree', 'evergreen_tree', 'fir_tree', 'willow_tree', 'pine_trees', 'maple_tree', 'sycamore_tree', 'tress']"
"['car', 'SUV', 'vehicles', 'minivan', 'Jeep', 'pickup_truck', 'truck', 'Ford_Explorer', 'vehcile', 'Chevy_Trailblazer']"
"['columnist_Abdi_Ipekci', 'Manager_MyView_SilkWorm', 'wingers', 'rightwing', 'opposition_politician_Hamdeen', 'leftwing', 'winger', 'wings', 'Batasuna_ETA_banned', 'wing_populists']"
"['lumber', 'timber', 'softwoods', 'kiln_dried', 'hardwoods', 'basically_duffed', 'cedar', 'wood_flooring', 'rotting_fungi', 'cedar_shingles']"
"['steering_wheel', 'wheels', 'squeaky_senatorial', 'Airtrax_patented_Omni_Directional', 'rear_wheel', 'brake_lever', 'driver', 'stub_axle', 'racer_Max_Papis', 'Lance_Kimmell']"
"['red', 'bright_yellow', 'orange', 'blue', 'purple', 'yellows', 'pink', 'bright_orange', 'Warplanes_streaked_overhead', 'participant_LOGIN']"
"['grasses', 'Bermuda_grass', 'bermuda_grass', 'rye_grass', 'lawns', 'fescue', 'Zoysia_grass', 'kikuyu', 'kikuyu_grass', 'tall_fescue_grass']"
"['soils', 'topsoil', 'sandy_soil', 'clay_soils', 'sandy_loam', 'compost_mulch', 'ICBM_silos_Steenbergen', 'sphagnum', 'compost_manure', 'rotted_compost']"
"['clothes', 'Clothing', 'apparel', 'garments', 'footwear', 'outerwear', 'sportswear', 'undergarments', 'underwear', 'stoles_symbolized']"
"['Discard_bay', 'petioles', 'foliage', 'seedheads', 'leaf_axils', 'flowerheads', 'yellowing_leaves', 'hydrangea_blooms', 'photinia', 'bulbils']"
"['branches', 'Branches', 'braches', 'offices', 'bank', 'Branch', 'Beachy_Mennonites_different', 'headquarters', 'Mariam_Bamba', 'Chaldeans_belong']"
"['dogs', 'puppy', 'pit_bull', 'pooch', 'dog', 'golden_retriever', 'German_shepherd', 'Rottweiler', 'beagle', 'pup']"
"['floral', 'flowers', 'roses', 'orchid', 'tulip', 'peony', 'blooms', 'blossoms', 'chrysanthemum', 'anthurium']"
"['furnishings', 'Furniture', 'borrowed_Farras', 'upholstered_furniture', 'kitchen_cabinets', 'upholstery', 'rugs', 'cabinets_countertops', 'beds_dressers', 'sofas']"
"['buildings', 'Building', 'bulding', 'buidling', 'buiding', 'buildling', 'buildng', 'renovating', 'buliding', 'builiding']"
"['plane', 'airplanes', 'aircraft', 'planes', 'jet', 'airliner', 'jetliner', 'Cessna', 'propeller_plane', 'jumbo_jet']"
"['textiles', 'Textile', 'Textiles', 'garment', 'readymade_garment', 'knitwear', 'hosiery', 'garmenting', 'textile_machinery', 'textile_exports']"
"['cooking', 'Baking', 'bake', 'bread_baking', 'baking_cakes', 'baking_pies', 'decorating_cakes', 'pastry', 'cake_decorating', 'Line_baking_tray']"
"['vegetables', 'Vegetable', 'veggie', 'tomato', 'potato', 'edible', 'broccoli', 'tomatoes_cucumbers_peppers', 'tomatoes', 'liza_Ordas_Malunggay']"
"['civil_aviation', 'Aviation', 'aeronautical', 'chief_Pedro_Desuasido', 'airline', 'aircraft', 'aerospace', 'aeronautic', 'aeronautics', 'airlines']"
"['evergreen_shrub', 'shrubs', 'flowering_shrub', 'shrubby', 'groundcover', 'deciduous_shrub', 'liriope', 'deciduous_shrubs', 'deciduous_tree', 'hydrangea']"
"['automotive_exterior']"
"['prairies', 'tallgrass', 'tallgrass_prairies', 'prairie_grass', 'prairie_grasslands', 'tallgrass_prairie', 'prairie_grasses', 'oak_savannas', 'grass_prairies', 'oak_savanna']"
"['breakfasts', 'breakfast_buffet', 'brunch', 'dinner', 'lunch', 'Breakfast', 'meal', 'hearty_breakfast', 'supper', 'WIDOWHOOD_PROGRAM_']"
"['animals', 'Animal', 'animal_welfare', 'dog', 'pet', 'cats', 'ani_mal', 'Animals', 'dogs', 'feline']"
"['visual_arts', 'artworks', 'artwork', 'printmaking', 'Art', 'LSA_CC', 'art_gallery', 'AABB_Cryo_Cell', 'arts', 'artmaking']"
"['annual_plant']"
"['noses', 'nostrils', 'jaw', 'forehead', 'chin', 'nostril', 'schnozz', 'schnoz', 'eye_socket', 'ear_lobe']"
"['auto', 'automobiles', 'automotive', 'Automobile', 'tycoon_Edsel_Ford', 'car', 'automative', 'autos', 'motorcycle', 'motor']"
"['meals', 'lunch', 'dinner', 'cooked_meal', 'supper', 'breakfast', 'nutritious_meal', 'hearty_meal', 'Meal', 'Thanksgiving_dinner']"
"['infrastructures', 'infrastucture', 'infra_structure', 'infrastructural', 'infrastruture', 'infrastruc_ture', 'Lambert_Martelle', 'infrastructre', 'infastructure', 'infrastrucutre']"
"['white', 'Responded_Letterman_How', 'blacks', 'crypt_inscribed', 'transporting_petrochemicals', 'brown', 'Shilah_Phillips', 'women_dating_interracially', 'wrote_Newitz', 'blue']"
"['consumer_electronics', 'maker_Aeroflex_Holding', 'VaST_drives', 'Elisra_Defense', 'semiconductors', 'Electronics', 'Corporation_Nasdaq_SMTX', 'electonics', 'BEST_BUY_Odd', 'semi_conductors']"
"['natural_environment']"
"['limbs', 'geo_syncline', 'spine', 'spinal_chord', 'bone', 'anklebone', 'Brittle_bones', 'amputation', 'spinal_discs', 'extremity']"
"['lines', 'homez', 'telenews', 'www', 'content', 'plugins', 'postviews', 'coach_George_Yarno', 'httpdocs_wp_includes_rss', 'php', 'Line', 'coach_Bob_Palcic', 'line', 'html', 'libraries', 'joomla', 'applicatio', 'kV_overhead', 'generic_cialis_cialis']"
"['heads', 'Head', 'director', 'assistant', 'deputy', 'chief', 'chair', 'Youssef_Kanjo', 'arm', 'vice_president']"
"['snowfall', 'heavy_snowfall', 'slushy_snow', 'snows', 'snowstorm', 'snowfalls', 'heavy_snows', 'powdery_snow', 'freezing_rain', 'sleet']"
"['individual_sports']"
"['peole', 'poeple', 'individuals', 'folks', 'peple', 'peo_ple', 'peope', 'citizens', 'Americans', 'People']"
"['pink', 'blue', 'yellow_plaid_pants', 'crimson', 'orange', 'burgundy', 'lime_green', 'red', 'colored', 'kelly_green']"
"['apparel', 'sportswear', 'Footwear', 'shoes', 'footware', 'clothing', 'shoe', 'outerwear', 'apparels', 'garments']"
"['fields', 'fi_eld']"
"['patterns', 'trend', 'patters', 'reversal_candlestick', 'diagonal_triangle', 'Patterns', 'bearish_candlestick', 'candlestick_chart', 'bullish_ascending_triangle', 'Posthumous_releases']"
"['facade', 'facades', 'brick_facade', 'facades', 'exterior', 'stucco_facade', 'brick_facade']"
"['lights', 'yellowish_glow', 'illumination', 'injuries_Fuellhardt', 'Light', 'glow', 'sensitive_photoreceptor_cells', 'illuminate']"
"['cats', 'kitten', 'feline', 'beagle', 'puppy', 'pup', 'pet', 'felines', 'chihuahua']"
